internal_adspace_id,geo_region_name,os_code,suggested_bid_cpm,raw_bid,bid_method,exploration_direction,exploration_adjustment,observation_count,win_rate,ctr,expected_value_cpm,is_profitable,npi_multiplier
111564,California,-1,20.0,20.0,v6_landscape_volume,up,1.0,5572,0.3652,0.0006205,7.9579,True,1.0
111564,Unknown,-1,20.0,20.0,v6_landscape_volume,up,1.0,5535,0.2676,0.00062721,8.044,True,1.0
111565,California,-1,20.0,20.0,v6_landscape_volume,up,1.0,4734,0.2527,0.00049033,6.2885,True,1.0
111565,Unknown,-1,20.0,20.0,v6_landscape_volume,up,1.0,4617,0.172,0.00039562,5.0738,True,1.0
111564,California,8,3.04,3.04,v6_landscape_margin,neutral,1.0,4256,0.6395,0.00068054,8.728,True,1.0
111563,California,-1,20.0,20.0,v6_landscape_volume,up,1.0,4036,0.3441,0.00026476,3.3956,True,1.0
111563,Unknown,-1,20.0,20.0,v6_landscape_volume,up,1.0,3751,0.2947,0.0001528,1.9597,False,1.0
111565,California,8,20.0,20.0,v6_landscape_volume,up,1.0,3690,0.4151,6.85e-06,0.0878,False,1.0
111563,California,8,3.0,3.0,v6_landscape_margin,neutral,1.0,3117,0.626,5.53e-06,0.0709,False,1.0
111564,Florida,-1,20.0,20.0,v6_landscape_volume,up,1.0,2940,0.2482,0.00080017,10.2621,True,1.0
111564,Texas,-1,20.0,20.0,v6_landscape_volume,up,1.0,2937,0.2012,0.0003195,4.0976,True,1.0
111564,New York,-1,20.0,20.0,v6_landscape_volume,up,1.0,2571,0.2569,0.00055723,7.1465,True,1.0
111565,Florida,-1,20.0,20.0,v6_landscape_volume,up,1.0,2464,0.1849,0.00058208,7.4652,True,1.0
111565,Texas,-1,20.0,20.0,v6_landscape_volume,up,1.0,2389,0.122,0.0001531,1.9635,False,1.0
111565,New York,-1,20.0,20.0,v6_landscape_volume,up,1.0,2211,0.1656,0.00070049,8.9837,True,1.0
111564,Unknown,8,3.05,3.05,v6_landscape_margin,neutral,1.0,2151,0.5645,0.0007941,10.1844,True,1.0
111563,Texas,-1,20.0,20.0,v6_landscape_volume,up,1.0,2002,0.2387,0.00019874,2.5489,False,1.0
111564,New Jersey,-1,20.0,20.0,v6_landscape_volume,up,1.0,1941,0.2908,0.00081681,10.4755,True,1.0
111565,Unknown,8,20.0,20.0,v6_landscape_volume,up,1.0,1866,0.3487,0.00145357,18.6421,True,1.0
111563,Florida,-1,20.0,20.0,v6_landscape_volume,up,1.0,1823,0.2559,0.00029774,3.8186,True,1.0
111564,Pennsylvania,-1,20.0,20.0,v6_landscape_volume,up,1.0,1809,0.2458,0.00130146,16.6913,True,1.0
111563,New York,-1,20.0,20.0,v6_landscape_volume,up,1.0,1743,0.3272,8.145e-05,1.0446,False,1.0
111564,Virginia,-1,20.0,20.0,v6_landscape_volume,up,1.0,1642,0.1681,1.91e-06,0.0245,False,1.0
111565,New Jersey,-1,20.0,20.0,v6_landscape_volume,up,1.0,1541,0.1573,0.00066174,8.4868,True,1.0
111565,Pennsylvania,-1,20.0,20.0,v6_landscape_volume,up,1.0,1503,0.1397,0.00023737,3.0443,True,1.0
111564,Texas,8,20.0,20.0,v6_landscape_volume,up,1.0,1430,0.496,1.548e-05,0.1985,False,1.0
111564,New York,8,20.0,20.0,v6_landscape_volume,up,1.0,1370,0.5386,1.479e-05,0.1897,False,1.0
111563,New Jersey,-1,20.0,20.0,v6_landscape_volume,up,1.0,1361,0.3674,0.0002717,3.4846,True,1.0
111566,Unknown,-1,20.0,20.0,v6_landscape_volume,up,1.0,1354,0.2797,0.00017919,2.2981,False,1.0
111565,Virginia,-1,20.0,20.0,v6_landscape_volume,up,1.0,1345,0.1462,3.39e-06,0.0435,False,1.0
111563,Unknown,8,3.0,3.0,v6_landscape_margin,neutral,1.0,1335,0.5524,1.493e-05,0.1914,False,1.0
111564,Ohio,-1,20.0,20.0,v6_landscape_volume,up,1.0,1326,0.2021,0.00015744,2.0191,False,1.0
111564,Michigan,-1,20.0,20.0,v6_landscape_volume,up,1.0,1283,0.179,0.00019998,2.5647,False,1.0
