internal_adspace_id,geo_region_name,os_code,suggested_bid_cpm
111563,Akershus,-1,20.0
111563,Alabama,-1,20.0
111563,Alabama,2,18.9
111563,Alabama,8,3.0
111563,Alabama,18,20.0
111563,Alaska,-1,18.9
111563,Alaska,8,16.4
111563,Alberta,-1,20.0
111563,Ar Riyāḑ,-1,20.0
111563,Arizona,-1,20.0
111563,Arizona,2,18.9
111563,Arizona,8,20.0
111563,Arizona,18,20.0
111563,Arkansas,-1,20.0
111563,Arkansas,8,20.0
111563,Belgrade,-1,20.0
111563,Bourgogne-Franche-Comte,-1,20.0
111563,British Columbia,-1,20.0
111563,California,-1,20.0
111563,California,1,20.0
111563,California,2,18.9
111563,California,8,3.0
111563,California,10,20.0
111563,California,18,3.06
111563,Catalonia,-1,20.0
111563,Colorado,-1,20.0
111563,Colorado,1,14.26
111563,Colorado,2,18.9
111563,Colorado,8,13.02
111563,Connecticut,-1,20.0
111563,Connecticut,2,20.0
111563,Connecticut,8,3.0
111563,Connecticut,18,20.0
111563,Delaware,-1,18.9
111563,Delaware,2,20.0
111563,Delaware,8,18.9
111563,District of Columbia,-1,20.0
111563,District of Columbia,2,20.0
111563,District of Columbia,8,16.12
111563,Florida,-1,20.0
111563,Florida,1,17.57
111563,Florida,2,17.62
111563,Florida,8,3.0
111563,Florida,18,20.0
111563,Georgia,-1,20.0
111563,Georgia,2,20.0
111563,Georgia,8,3.0
111563,Hawaii,-1,20.0
111563,Hawaii,2,20.0
111563,Hawaii,8,18.9
111563,Idaho,-1,20.0
111563,Idaho,2,20.0
111563,Idaho,8,16.26
111563,Illinois,-1,20.0
111563,Illinois,2,20.0
111563,Illinois,8,3.0
111563,Illinois,18,20.0
111563,Indiana,-1,20.0
111563,Indiana,2,20.0
111563,Indiana,8,20.0
111563,Indiana,18,20.0
111563,Iowa,-1,20.0
111563,Iowa,2,20.0
111563,Iowa,8,20.0
111563,Kansas,-1,20.0
111563,Kansas,8,20.0
111563,Kentucky,-1,20.0
111563,Kentucky,2,20.0
111563,Kentucky,8,20.0
111563,Kentucky,18,20.0
111563,Louisiana,-1,20.0
111563,Louisiana,2,18.82
111563,Louisiana,8,20.0
111563,Maine,-1,20.0
111563,Maine,1,20.0
111563,Maine,2,20.0
111563,Maine,8,16.8
111563,Maryland,-1,20.0
111563,Maryland,2,20.0
111563,Maryland,8,20.0
111563,Massachusetts,-1,20.0
111563,Massachusetts,1,20.0
111563,Massachusetts,2,18.9
111563,Massachusetts,8,20.0
111563,Massachusetts,18,20.0
111563,Michigan,-1,20.0
111563,Michigan,1,20.0
111563,Michigan,2,18.9
111563,Michigan,8,20.0
111563,Michigan,18,20.0
111563,Minnesota,-1,20.0
111563,Minnesota,2,20.0
111563,Minnesota,8,20.0
111563,Mississippi,-1,20.0
111563,Mississippi,8,3.0
111563,Mississippi,18,20.0
111563,Missouri,-1,20.0
111563,Missouri,2,18.9
111563,Missouri,8,3.0
111563,Missouri,10,20.0
111563,Montana,-1,18.9
111563,Montana,8,20.0
111563,Nebraska,-1,20.0
111563,Nebraska,2,20.0
111563,Nebraska,8,20.0
111563,Nevada,-1,20.0
111563,Nevada,2,18.9
111563,Nevada,8,12.75
111563,Nevada,18,20.0
111563,New Hampshire,-1,20.0
111563,New Hampshire,2,18.54
111563,New Hampshire,8,16.8
111563,New Jersey,-1,20.0
111563,New Jersey,8,3.0
111563,New Jersey,18,20.0
111563,New Mexico,-1,20.0
111563,New Mexico,1,20.0
111563,New Mexico,8,20.0
111563,New York,-1,20.0
111563,New York,2,18.9
111563,New York,8,3.04
111563,New York,18,20.0
111563,North Carolina,-1,20.0
111563,North Carolina,2,18.9
111563,North Carolina,8,3.0
111563,North Carolina,18,18.39
111563,North Dakota,-1,18.9
111563,North Dakota,2,20.0
111563,North Dakota,8,15.36
111563,Nova Scotia,-1,20.0
111563,Ohio,-1,20.0
111563,Ohio,1,20.0
111563,Ohio,2,18.9
111563,Ohio,8,20.0
111563,Ohio,18,17.54
111563,Oklahoma,-1,20.0
111563,Oklahoma,2,20.0
111563,Oklahoma,8,20.0
111563,Ontario,-1,20.0
111563,Oregon,-1,20.0
111563,Oregon,2,20.0
111563,Oregon,8,3.0
111563,Pennsylvania,-1,20.0
111563,Pennsylvania,2,18.4
111563,Pennsylvania,8,3.0
111563,Pennsylvania,18,18.9
111563,Rhode Island,-1,20.0
111563,Rhode Island,8,20.0
111563,Rhode Island,18,20.0
111563,Rio de Janeiro,-1,20.0
111563,South Carolina,-1,20.0
111563,South Carolina,2,18.9
111563,South Carolina,8,3.0
111563,South Carolina,18,20.0
111563,South Dakota,-1,20.0
111563,South Dakota,8,18.44
111563,Tennessee,-1,20.0
111563,Tennessee,2,18.9
111563,Tennessee,8,3.0
111563,Tennessee,18,20.0
111563,Texas,-1,20.0
111563,Texas,1,20.0
111563,Texas,2,18.9
111563,Texas,8,20.0
111563,Unknown,-1,20.0
111563,Unknown,1,20.0
111563,Unknown,2,20.0
111563,Unknown,8,3.0
111563,Unknown,18,18.9
111563,Utah,-1,20.0
111563,Utah,8,20.0
111563,Vermont,-1,18.38
111563,Vermont,8,18.71
111563,Vermont,18,20.0
111563,Virginia,-1,20.0
111563,Virginia,2,17.82
111563,Virginia,8,20.0
111563,Virginia,18,20.0
111563,Washington,-1,20.0
111563,Washington,2,18.9
111563,Washington,8,20.0
111563,Washington,18,18.9
111563,West Virginia,-1,20.0
111563,West Virginia,2,20.0
111563,West Virginia,8,20.0
111563,West Virginia,18,20.0
111563,Wisconsin,-1,20.0
111563,Wisconsin,2,18.9
111563,Wisconsin,8,20.0
111563,Wisconsin,18,20.0
111563,Wyoming,-1,18.9
111563,Wyoming,8,3.0
