geo_region_name,browser_code,suggested_bid_cpm,raw_bid,bid_method,exploration_direction,exploration_adjustment,observation_count,win_rate,ctr,expected_value_cpm,is_profitable,npi_multiplier
Pennsylvania,143,5.79,5.79,v6_landscape_volume,neutral,1.0,56714,0.1242,0.00215236,4.3774,True,1.0
New York,143,6.42,6.42,v6_landscape_volume,neutral,1.0,45383,0.0869,0.00229652,4.6706,True,1.0
New York,14,7.66,7.66,v6_landscape_volume,neutral,1.0,42949,0.0547,0.00128323,2.6098,True,1.0
Ohio,143,6.42,6.42,v6_landscape_volume,neutral,1.0,41986,0.0885,0.00189545,3.8549,True,1.0
North Carolina,143,6.65,6.65,v6_landscape_volume,neutral,1.0,37590,0.0802,0.0017652,3.59,True,1.0
Illinois,143,6.72,6.72,v6_landscape_volume,neutral,1.0,34272,0.0696,0.00175566,3.5706,True,1.0
Michigan,143,6.96,6.96,v6_landscape_volume,neutral,1.0,31236,0.0651,0.00292258,5.9438,True,1.0
Pennsylvania,14,7.04,7.04,v6_landscape_volume,neutral,1.0,27444,0.0726,3.181e-05,0.0647,False,1.0
Texas,143,6.72,6.72,v6_landscape_volume,neutral,1.0,26460,0.0856,0.00486773,9.8998,True,1.0
Georgia,143,6.33,6.33,v6_landscape_volume,neutral,1.0,26037,0.0841,0.00093283,1.8972,True,1.0
Florida,143,6.26,6.26,v6_landscape_volume,neutral,1.0,25348,0.1052,0.00076885,1.5637,True,1.0
Missouri,143,6.8,6.8,v6_landscape_volume,neutral,1.0,22770,0.0711,0.00247223,5.0279,True,1.0
Ohio,14,7.66,7.66,v6_landscape_volume,neutral,1.0,22187,0.057,4.92e-05,0.1001,False,1.0
Illinois,14,7.97,7.97,v6_landscape_volume,neutral,1.0,21318,0.0487,0.00286924,5.8354,True,1.0
Wisconsin,143,7.34,7.34,v6_landscape_volume,neutral,1.0,21225,0.0552,5.766e-05,0.1173,False,1.0
Wisconsin,14,8.59,8.59,v6_landscape_volume,neutral,1.0,21087,0.033,8.926e-05,0.1815,False,1.0
Texas,14,7.89,7.89,v6_landscape_volume,neutral,1.0,20448,0.0462,6.6e-05,0.1342,False,1.0
South Carolina,143,6.65,6.65,v6_landscape_volume,neutral,1.0,19682,0.0804,0.00313194,6.3696,True,1.0
Massachusetts,14,8.05,8.05,v6_landscape_volume,neutral,1.0,18740,0.0391,8.434e-05,0.1715,False,1.0
North Carolina,14,7.81,7.81,v6_landscape_volume,neutral,1.0,17848,0.0511,0.01264607,25.7191,True,1.0
Michigan,14,8.2,8.2,v6_landscape_volume,neutral,1.0,17230,0.0407,8.779e-05,0.1786,False,1.0
Massachusetts,143,6.88,6.88,v6_landscape_volume,neutral,1.0,17122,0.0749,0.00233031,4.7393,True,1.0
Florida,14,7.51,7.51,v6_landscape_volume,neutral,1.0,15656,0.0471,0.00138048,2.8076,True,1.0
Georgia,14,7.51,7.51,v6_landscape_volume,neutral,1.0,14577,0.0496,0.00273787,5.5682,True,1.0
Alabama,143,6.33,6.33,v6_landscape_volume,neutral,1.0,11520,0.0881,0.00689205,14.0168,True,1.0
Missouri,14,7.97,7.97,v6_landscape_volume,neutral,1.0,10606,0.0521,0.00010963,0.223,False,1.0
Louisiana,143,7.27,7.27,v6_landscape_volume,neutral,1.0,9784,0.0612,0.00488733,9.9397,True,1.0
Indiana,143,5.41,5.41,v6_landscape_volume,neutral,1.0,9219,0.1588,4.399e-05,0.0895,False,1.0
Tennessee,143,6.26,6.26,v6_landscape_volume,neutral,1.0,8436,0.1034,0.00356735,7.2551,True,1.0
Oklahoma,143,6.72,6.72,v6_landscape_volume,neutral,1.0,8372,0.0757,0.00460805,9.3717,True,1.0
New York,144,6.42,6.42,v6_landscape_volume,neutral,1.0,8167,0.1195,0.00205613,4.1817,True,1.0
New Jersey,143,6.26,6.26,v6_landscape_volume,neutral,1.0,8110,0.1014,0.00242295,4.9277,True,1.0
Texas,144,6.65,6.65,v6_landscape_volume,neutral,1.0,7768,0.107,0.00353851,7.1965,True,1.0
Minnesota,143,5.71,5.71,v6_landscape_volume,neutral,1.0,7742,0.1184,0.00440342,8.9555,True,1.0
New Jersey,14,7.51,7.51,v6_landscape_volume,neutral,1.0,7386,0.0652,0.0001252,0.2546,False,1.0
South Carolina,14,7.81,7.81,v6_landscape_volume,neutral,1.0,7246,0.0476,0.00017207,0.3499,False,1.0
Louisiana,14,8.44,8.44,v6_landscape_volume,neutral,1.0,7002,0.0279,0.00028225,0.574,True,1.0
Maryland,143,5.79,5.79,v6_landscape_volume,neutral,1.0,6888,0.1215,7.527e-05,0.1531,False,1.0
Virginia,143,6.03,6.03,v6_landscape_volume,neutral,1.0,6612,0.1033,8.938e-05,0.1818,False,1.0
Arkansas,143,6.18,6.18,v6_landscape_volume,neutral,1.0,6380,0.0987,0.00464296,9.4427,True,1.0
Georgia,144,6.33,6.33,v6_landscape_volume,neutral,1.0,6203,0.1565,0.00106223,2.1603,True,1.0
Illinois,144,6.72,6.72,v6_landscape_volume,neutral,1.0,6139,0.1343,7.625e-05,0.1551,False,1.0
Florida,144,6.26,6.26,v6_landscape_volume,neutral,1.0,6026,0.1158,9.026e-05,0.1836,False,1.0
Minnesota,14,6.96,6.96,v6_landscape_volume,neutral,1.0,5973,0.0874,0.00011595,0.2358,False,1.0
Nebraska,143,6.65,6.65,v6_landscape_volume,neutral,1.0,5705,0.0904,0.00011939,0.2428,False,1.0
New Mexico,143,6.65,6.65,v6_landscape_volume,neutral,1.0,5664,0.087,0.00202349,4.1153,True,1.0
