geo_region_name,browser_code,suggested_bid_cpm
Alabama,-1,8.05
Alabama,5,7.56
Alabama,14,7.58
Alabama,46,7.27
Alabama,100,6.72
Alabama,137,8.05
Alabama,143,6.33
Alabama,144,6.33
Alabama,145,8.05
Alabama,146,6.33
Alabama,150,6.26
Alaska,5,8.05
Alaska,14,7.58
Alaska,143,6.33
Alaska,144,7.56
Alaska,145,8.05
Alaska,146,8.05
Arizona,-1,8.05
Arizona,5,8.05
Arizona,14,7.58
Arizona,46,8.05
Arizona,100,6.72
Arizona,143,6.33
Arizona,144,6.33
Arizona,146,8.05
Arizona,150,7.56
Arkansas,-1,8.05
Arkansas,5,7.56
Arkansas,14,7.43
Arkansas,46,7.56
Arkansas,100,7.56
Arkansas,143,6.18
Arkansas,144,6.18
Arkansas,145,8.05
Arkansas,146,6.18
Arkansas,150,7.56
California,-1,8.05
California,5,8.05
California,14,7.51
California,46,8.05
California,100,6.65
California,143,6.26
California,144,6.26
California,146,7.56
California,150,6.18
Colorado,-1,7.56
Colorado,5,8.05
Colorado,14,7.51
Colorado,46,7.56
Colorado,100,6.72
Colorado,143,6.33
Colorado,144,6.26
Colorado,145,8.05
Colorado,146,7.56
Colorado,150,6.26
Connecticut,-1,7.56
Connecticut,5,7.56
Connecticut,14,8.44
Connecticut,46,7.56
Connecticut,100,7.66
Connecticut,136,7.56
Connecticut,137,8.05
Connecticut,143,7.27
Connecticut,144,7.27
Connecticut,146,7.56
Connecticut,150,7.19
Delaware,5,8.05
Delaware,14,7.43
Delaware,46,8.05
Delaware,100,7.56
Delaware,143,6.18
Delaware,144,6.18
Delaware,146,7.56
Delaware,150,8.05
District of Columbia,-1,8.05
District of Columbia,14,7.51
District of Columbia,46,8.05
District of Columbia,100,7.56
District of Columbia,136,8.05
District of Columbia,143,6.26
District of Columbia,144,6.26
District of Columbia,146,8.05
District of Columbia,150,7.56
Florida,-1,7.66
Florida,5,7.56
Florida,14,7.51
Florida,46,7.19
Florida,100,6.65
Florida,137,8.05
Florida,143,6.26
Florida,144,6.26
Florida,145,8.05
Florida,146,6.26
Florida,150,6.18
Georgia,-1,7.56
Georgia,5,7.58
Georgia,14,7.51
Georgia,46,7.56
Georgia,100,6.72
Georgia,137,8.05
Georgia,143,6.33
Georgia,144,6.33
Georgia,145,8.05
Georgia,146,6.26
Georgia,150,6.26
Hawaii,14,7.43
Hawaii,46,8.05
Hawaii,100,8.05
Hawaii,143,6.18
Hawaii,144,6.18
Hawaii,146,8.05
Hawaii,150,8.05
Idaho,-1,8.05
Idaho,5,8.05
Idaho,14,7.34
Idaho,100,8.05
Idaho,137,8.05
Idaho,143,6.18
Idaho,144,6.18
Idaho,146,8.05
Idaho,150,7.56
Illinois,-1,7.56
Illinois,5,7.56
Illinois,14,7.97
Illinois,46,7.66
Illinois,100,7.11
Illinois,136,8.05
Illinois,137,8.05
Illinois,143,6.72
Illinois,144,6.72
Illinois,145,8.05
Illinois,146,6.65
Illinois,150,6.65
Indiana,-1,8.05
Indiana,5,7.56
Indiana,14,6.65
Indiana,46,7.56
Indiana,100,5.88
Indiana,137,8.05
Indiana,143,5.41
Indiana,144,5.41
Indiana,145,8.05
Indiana,146,5.41
Indiana,150,5.41
Iowa,-1,7.56
Iowa,5,8.05
Iowa,14,7.34
Iowa,46,8.05
Iowa,100,7.56
Iowa,143,6.1
Iowa,144,6.1
Iowa,145,8.05
Iowa,146,7.56
Iowa,150,7.56
Kansas,-1,7.56
Kansas,5,8.05
Kansas,14,7.81
Kansas,46,7.56
Kansas,100,7.04
Kansas,143,6.65
Kansas,144,6.65
Kansas,145,8.05
Kansas,146,7.56
Kansas,150,7.56
Kentucky,-1,8.05
Kentucky,5,7.56
Kentucky,14,7.04
Kentucky,46,8.05
Kentucky,100,7.56
Kentucky,143,5.79
Kentucky,144,5.79
Kentucky,145,8.05
Kentucky,146,5.79
Kentucky,150,5.71
Louisiana,-1,8.05
Louisiana,5,8.05
Louisiana,14,8.44
Louisiana,46,8.05
Louisiana,100,7.56
Louisiana,137,8.05
Louisiana,143,7.27
Louisiana,144,7.19
Louisiana,145,8.05
Louisiana,146,7.19
Louisiana,150,7.56
Maine,-1,7.56
Maine,5,7.56
Maine,14,8.12
Maine,46,8.05
Maine,100,7.56
Maine,143,6.88
Maine,144,6.88
Maine,145,8.05
Maine,146,7.56
Maine,150,7.56
Maryland,-1,7.56
Maryland,5,8.05
Maryland,14,6.96
Maryland,46,6.72
Maryland,100,6.18
Maryland,143,5.79
Maryland,144,5.79
Maryland,145,8.05
Maryland,146,5.71
Maryland,150,5.71
Massachusetts,-1,7.56
Massachusetts,5,7.56
