domain,bids,shrunk_rate
afamilyfeast.com,289,0.007482
africanbites.com,489,0.006526
aldentediva.com,483,0.004653
askchefdennis.com,1052,0.004979
ballotpedia.org,1701,0.001379
belleofthekitchen.com,1026,0.004154
bostonherald.com,2877,0.001509
bowlofdelicious.com,607,0.005317
bradsdeals.com,343,0.006399
breitbart.com,276,0.0078
callascleaneats.com,644,0.005025
celebratingsweets.com,352,0.006248
chilipeppermadness.com,839,0.005048
chowhound.com,5787,0.00402
christianity.com,821,0.00633
cookingchew.com,744,0.004376
corriecooks.com,332,0.006593
dailyfreeman.com,503,0.004478
dishingouthealth.com,491,0.006501
familyfoodonthetable.com,558,0.007461
foodlovinfamily.com,448,0.007085
gisgeography.com,409,0.005437
gloucestertimes.com,915,0.002526
headphonesty.com,772,0.006717
honest-food.net,288,0.007506
hostessatheart.com,550,0.007563
iheartvegetables.com,354,0.006216
iwashyoudry.com,1209,0.004348
jsonline.com,19385,0.000123
kristineskitchenblog.com,1795,0.007335
linguee.com,433,0.007315
liveeatlearn.com,407,0.00775
lowellsun.com,408,0.005449
macombdaily.com,408,0.005449
melissajorealrecipes.com,333,0.006575
mycakeschool.com,1001,0.005225
nebraska.tv,464,0.004832
nola.com,4358,0.000544
pilotonline.com,618,0.003683
pressdemocrat.com,1150,0.002023
pressrepublican.com,317,0.006878
rasamalaysia.com,306,0.007104
readingeagle.com,801,0.002872
record-eagle.com,504,0.00447
saltandlavender.com,3808,0.00427
simplehomeedit.com,285,0.007577
sixsistersstuff.com,403,0.007822
skinnyspatula.com,401,0.007858
southyourmouth.com,526,0.004293
spaceshipsandlaserbeams.com,957,0.005458
stockanalysis.com,274,0.007851
styleatacertainage.com,7219,0.002261
suncommercial.com,295,0.007344
theadvocate.com,1440,0.001624
thecozycook.com,3915,0.002126
theeverymom.com,304,0.007146
thepennyhoarder.com,314,0.006938
therealfooddietitians.com,1598,0.003923
theroastedroot.net,542,0.007669
thesimplicityhabit.com,726,0.005803
theslowroasteditalian.com,576,0.003939
thetipsyhousewife.org,963,0.003411
tornadoughalli.com,322,0.006781
twincities.com,1788,0.001313
upi.com,661,0.004901
wargamer.com,2479,0.000951
windfinder.com,734,0.003124
yeahweddings.com,438,0.007237
