domain,multiplier
yourerie.com,1.5
wwlp.com,1.5
weddingbee.com,1.5
cdapress.com,1.5
parkrapidsenterprise.com,1.5
bemidjipioneer.com,1.5
durangoherald.com,1.5
benzinga.com,1.5
mytwintiers.com,1.5
westernslopenow.com,1.5
thefinancestar.com,1.5
ktalnews.com,1.5
wgno.com,1.5
wgnradio.com,1.5
mywabashvalley.com,1.5
ksbw.com,1.5
ourquadcities.com,1.5
hotsr.com,1.5
tomato.gg,1.5
cbs42.com,1.5
bikeforums.net,1.5
binghamtonhomepage.com,1.5
yakimaherald.com,1.5
actionnewsjax.com,1.5
razzlepuzzles.com,1.5
sanduskyregister.com,1.5
chatib.us,1.5
wdtn.com,1.5
ridgwayrecord.com,1.5
smdailypress.com,1.5
cyberbackgroundchecks.com,1.5
funny3000.com,1.5
waaytv.com,1.5
teslarati.com,1.5
idahostatejournal.com,1.5
rochesterfirst.com,1.5
pokemondb.net,1.5
motorbiscuit.com,1.5
gamersden.tv,1.5
informnny.com,1.5
dailypress.com,1.5
ponly.com,1.5
leoweekly.com,1.5
louisianafirstnews.com,1.5
wbir.com,1.5
thelawdictionary.org,1.5
wcexaminer.com,1.5
mychamplainvalley.com,1.5
insidethehall.com,1.5
echopress.com,1.5
wctrib.com,1.5
blackenterprise.com,1.5
texarkanagazette.com,1.5
wholehogsports.com,1.5
thisoptimallife.com,1.5
cracked.com,1.5
brainerddispatch.com,1.5
shefinds.com,1.5
dippy.org,1.5
phl17.com,1.5
norwalkreflector.com,1.5
thewindowsclub.com,1.5
wowktv.com,1.5
wpxi.com,1.5
svtperformance.com,1.5
wnct.com,1.5
klfy.com,1.5
kcra.com,1.5
superiortelegram.com,1.5
wrbl.com,1.5
breadmachinediva.com,1.5
bozemandailychronicle.com,1.5
newyorkupstate.com,1.5
grandforksherald.com,1.5
kimt.com,1.5
doityourself.com,1.5
punxsutawneyspirit.com,1.5
butlereagle.com,1.5
cranberryeagle.com,1.5
kadn.com,1.5
wthitv.com,1.5
wtaj.com,1.5
thesunchronicle.com,1.5
flyertalk.com,1.5
wsiltv.com,1.5
worldlifestyle.com,1.5
hometownstations.com,1.5
wsvn.com,1.5
teambrainy.com,1.3
typicallytopical.com,1.3
newstribune.com,1.3
electrek.co,1.3
liveandletsfly.com,1.3
smithandwessonforums.com,1.3
lehighvalleylive.com,1.3
lindsaypleskot.com,1.3
reporternews.com,1.3
nicenews.com,1.3
cafesdesigns.com,1.3
styleforum.net,1.3
essentiallysports.com,1.3
myarklamiss.com,1.3
hellomagazine.com,1.3
ayumilove.net,1.3
monicanedeff.com,1.3
triviaclue.com,1.3
themag.co.uk,1.3
cbs17.com,1.3
ksnt.com,1.3
topdrawersoccer.com,1.3
ksn.com,1.3
happylifeideas.com,1.3
kiro7.com,1.3
starcasm.net,1.3
offthepress.com,1.3
dcnewsnow.com,1.3
realestlove.com,1.3
synonym.com,1.3
birdadvisors.com,1.3
ocregister.com,1.3
tickledthink.com,1.3
klkntv.com,1.3
dobbersports.com,1.3
thisisanfield.com,1.3
newprogressivemusic.com,1.3
prensalibre.com,1.3
latoyarachelle.com,1.3
inspiringquotes.com,1.3
deltiasgaming.com,1.3
bostonmagazine.com,1.3
sportalix.com,1.3
mypanhandle.com,1.3
ohmyfacts.com,1.3
ktlo.com,1.3
kvoa.com,1.3
beliefnet.com,1.3
thewellnourishedmama.com,1.3
kget.com,1.3
khon2.com,1.3
staradvertiser.com,1.3
police1.com,1.3
hackspirit.com,1.3
wvnstv.com,1.3
consumergravity.com,1.3
whatfontis.com,1.3
patch.com,1.3
wfxrtv.com,1.3
13wmaz.com,1.3
mathgoodies.com,1.3
wrif.com,1.3
yourtherapysource.com,1.3
hip2keto.com,1.3
cointiply.com,1.3
freegamingideas.com,1.3
wboy.com,1.3
alchetron.com,1.3
freebeacon.com,1.3
crushnovels.net,1.3
wisetrivia.com,1.3
meidasnews.com,1.3
crossingbroad.com,1.3
crosswalk.com,1.3
wlns.com,1.3
wisportsheroics.com,1.3
shebethriving.com,1.3
pep.ph,1.3
wlfi.com,1.3
fox44news.com,1.3
abc4.com,1.3
6park.com,1.3
wevv.com,1.3
frequentmiler.com,1.3
wsbradio.com,1.3
thecinemaholic.com,1.3
counton2.com,1.3
playqueensgame.com,1.3
runlifteatrepeat.com,1.3
ancient-origins.net,1.3
thedumbbelle.com,1.3
thebiglead.com,1.3
wytv.com,1.3
who13.com,1.3
3downnation.com,1.3
coalregioncanary.com,1.3
fitgirlsdiary.com,1.3
peoplevstheworld.com,1.3
yourpositiveoasis.com,1.15
bibleminute.co,1.15
steelernation.com,1.15
kitv.com,1.15
hardcoresledder.com,1.15
profootballrumors.com,1.15
healingslice.com,1.15
timesfreepress.com,1.15
hubpages.com,1.15
nbadraft.net,1.15
posturedirect.com,1.15
boxingforum24.com,1.15
kitco.com,1.15
wjtv.com,1.15
staugustine.com,1.15
neurolaunch.com,1.15
deafvideo.tv,1.15
cbsnews.com,1.15
fox10phoenix.com,1.15
cartalk.com,1.15
nutritionconsabor.com,1.15
mystateline.com,1.15
wfft.com,1.15
houseoutlook.com,1.15
fox2detroit.com,1.15
systemrequirementslab.com,1.15
townhall.com,1.15
knowt.com,1.15
