domain,tier,multiplier,bids,views,clicks,shrunk_rate
yourerie.com,extreme_stars,1.5,154,59,59,0.333624
wwlp.com,extreme_stars,1.5,1821,480,480,0.260609
weddingbee.com,extreme_stars,1.5,77,72,72,0.695204
cdapress.com,extreme_stars,1.5,183,52,52,0.255337
parkrapidsenterprise.com,extreme_stars,1.5,50,39,39,0.517335
bemidjipioneer.com,extreme_stars,1.5,52,37,37,0.480327
durangoherald.com,extreme_stars,1.5,83,68,68,0.622892
benzinga.com,extreme_stars,1.5,113,70,70,0.506202
mytwintiers.com,extreme_stars,1.5,347,113,113,0.306066
westernslopenow.com,extreme_stars,1.5,137,47,47,0.295729
thefinancestar.com,extreme_stars,1.5,676,238,238,0.340491
ktalnews.com,extreme_stars,1.5,98,30,30,0.253022
wgno.com,extreme_stars,1.5,41,33,33,0.498406
wgnradio.com,extreme_stars,1.5,47,31,31,0.433595
mywabashvalley.com,extreme_stars,1.5,115,69,69,0.492323
ksbw.com,extreme_stars,1.5,245,132,132,0.488679
ourquadcities.com,extreme_stars,1.5,70,30,30,0.323868
hotsr.com,extreme_stars,1.5,263,232,232,0.799955
tomato.gg,extreme_stars,1.5,48,33,33,0.453677
cbs42.com,extreme_stars,1.5,116,61,61,0.434156
bikeforums.net,extreme_stars,1.5,35,34,34,0.559797
binghamtonhomepage.com,extreme_stars,1.5,218,144,144,0.590269
yakimaherald.com,extreme_stars,1.5,211,81,81,0.346003
actionnewsjax.com,extreme_stars,1.5,857,220,220,0.250718
razzlepuzzles.com,extreme_stars,1.5,1112,301,301,0.265663
sanduskyregister.com,extreme_stars,1.5,769,405,405,0.509871
chatib.us,extreme_stars,1.5,481,152,152,0.302127
wdtn.com,extreme_stars,1.5,633,246,246,0.374641
ridgwayrecord.com,extreme_stars,1.5,35,23,23,0.390567
smdailypress.com,extreme_stars,1.5,55,51,51,0.62808
cyberbackgroundchecks.com,extreme_stars,1.5,158,45,45,0.252058
funny3000.com,extreme_stars,1.5,43,18,18,0.279272
waaytv.com,extreme_stars,1.5,268,78,78,0.269754
teslarati.com,extreme_stars,1.5,1304,717,717,0.53927
idahostatejournal.com,extreme_stars,1.5,71,43,43,0.449375
rochesterfirst.com,extreme_stars,1.5,312,120,120,0.357856
pokemondb.net,extreme_stars,1.5,6656,1998,1998,0.29919
motorbiscuit.com,extreme_stars,1.5,127,49,49,0.327305
gamersden.tv,extreme_stars,1.5,33,14,14,0.260108
informnny.com,extreme_stars,1.5,37,20,20,0.334132
dailypress.com,extreme_stars,1.5,114,40,40,0.294353
ponly.com,extreme_stars,1.5,371,141,141,0.357573
leoweekly.com,extreme_stars,1.5,137,39,39,0.247825
louisianafirstnews.com,extreme_stars,1.5,45,35,35,0.498491
wbir.com,extreme_stars,1.5,55,22,22,0.286904
thelawdictionary.org,extreme_stars,1.5,58,29,29,0.356668
wcexaminer.com,extreme_stars,1.5,123,51,51,0.348933
mychamplainvalley.com,extreme_stars,1.5,144,78,78,0.461993
insidethehall.com,extreme_stars,1.5,1416,801,801,0.555593
echopress.com,extreme_stars,1.5,43,35,35,0.512148
wctrib.com,extreme_stars,1.5,62,41,41,0.471596
blackenterprise.com,extreme_stars,1.5,400,330,330,0.772993
texarkanagazette.com,extreme_stars,1.5,79,33,33,0.32465
wholehogsports.com,extreme_stars,1.5,447,195,195,0.413809
thisoptimallife.com,extreme_stars,1.5,193,55,55,0.25734
cracked.com,extreme_stars,1.5,102,88,88,0.684749
brainerddispatch.com,extreme_stars,1.5,68,42,42,0.452927
shefinds.com,extreme_stars,1.5,366,140,140,0.359563
dippy.org,extreme_stars,1.5,151,62,62,0.355728
phl17.com,extreme_stars,1.5,60,58,58,0.670965
norwalkreflector.com,extreme_stars,1.5,110,99,99,0.724192
thewindowsclub.com,extreme_stars,1.5,175,73,73,0.367741
wowktv.com,extreme_stars,1.5,234,75,75,0.293132
wpxi.com,extreme_stars,1.5,6907,2624,2624,0.378606
svtperformance.com,extreme_stars,1.5,72,24,24,0.258694
wnct.com,extreme_stars,1.5,318,85,85,0.251112
klfy.com,extreme_stars,1.5,373,185,185,0.46498
kcra.com,extreme_stars,1.5,571,167,167,0.281842
superiortelegram.com,extreme_stars,1.5,35,30,30,0.498259
wrbl.com,extreme_stars,1.5,76,24,24,0.248932
breadmachinediva.com,extreme_stars,1.5,48,20,20,0.287011
bozemandailychronicle.com,extreme_stars,1.5,62,51,51,0.580292
newyorkupstate.com,extreme_stars,1.5,143,53,53,0.320155
grandforksherald.com,extreme_stars,1.5,135,76,76,0.475072
kimt.com,extreme_stars,1.5,69,63,63,0.660473
doityourself.com,extreme_stars,1.5,54,47,47,0.587938
punxsutawneyspirit.com,extreme_stars,1.5,62,38,38,0.438987
butlereagle.com,extreme_stars,1.5,1020,672,672,0.642273
cranberryeagle.com,extreme_stars,1.5,30,27,27,0.48978
kadn.com,extreme_stars,1.5,37,32,32,0.513236
wthitv.com,extreme_stars,1.5,141,102,102,0.610449
wtaj.com,extreme_stars,1.5,298,136,136,0.421911
thesunchronicle.com,extreme_stars,1.5,179,70,70,0.346348
flyertalk.com,extreme_stars,1.5,84,52,52,0.477077
wsiltv.com,extreme_stars,1.5,193,124,124,0.566757
worldlifestyle.com,extreme_stars,1.5,93,35,35,0.303958
hometownstations.com,extreme_stars,1.5,102,31,31,0.25293
wsvn.com,extreme_stars,1.5,271,76,76,0.260421
teambrainy.com,stars,1.3,523,130,130,0.239398
typicallytopical.com,stars,1.3,65,16,16,0.193546
newstribune.com,stars,1.3,220,46,46,0.193547
electrek.co,stars,1.3,3113,562,562,0.179569
liveandletsfly.com,stars,1.3,346,62,62,0.171242
smithandwessonforums.com,stars,1.3,42,11,11,0.185928
lehighvalleylive.com,stars,1.3,734,165,165,0.219093
lindsaypleskot.com,stars,1.3,38,11,11,0.196865
reporternews.com,stars,1.3,67,15,15,0.179246
nicenews.com,stars,1.3,73,15,15,0.168804
cafesdesigns.com,stars,1.3,101,24,24,0.201426
styleforum.net,stars,1.3,119,31,31,0.224073
essentiallysports.com,stars,1.3,35,12,12,0.221336
myarklamiss.com,stars,1.3,149,31,31,0.186519
hellomagazine.com,stars,1.3,189,46,46,0.220944
ayumilove.net,stars,1.3,239,48,48,0.187312
monicanedeff.com,stars,1.3,33,9,9,0.180743
triviaclue.com,stars,1.3,575,113,113,0.190722
themag.co.uk,stars,1.3,55,14,14,0.192786
cbs17.com,stars,1.3,833,183,183,0.214817
ksnt.com,stars,1.3,402,99,99,0.234692
topdrawersoccer.com,stars,1.3,80,23,23,0.230789
ksn.com,stars,1.3,709,122,122,0.168318
happylifeideas.com,stars,1.3,122,32,32,0.226229
kiro7.com,stars,1.3,792,164,164,0.202417
starcasm.net,stars,1.3,119,32,32,0.230784
offthepress.com,stars,1.3,77,19,19,0.199877
dcnewsnow.com,stars,1.3,463,110,110,0.227965
realestlove.com,stars,1.3,138,29,29,0.186826
synonym.com,stars,1.3,64,17,17,0.206243
birdadvisors.com,stars,1.3,36,10,10,0.187679
ocregister.com,stars,1.3,646,111,111,0.167732
tickledthink.com,stars,1.3,170,34,34,0.181934
klkntv.com,stars,1.3,1286,300,300,0.229777
dobbersports.com,stars,1.3,78,22,22,0.225804
thisisanfield.com,stars,1.3,898,156,156,0.170675
newprogressivemusic.com,stars,1.3,110,23,23,0.181334
prensalibre.com,stars,1.3,88,19,19,0.181244
latoyarachelle.com,stars,1.3,85,18,18,0.177277
inspiringquotes.com,stars,1.3,95,20,20,0.179095
deltiasgaming.com,stars,1.3,63,17,17,0.20846
bostonmagazine.com,stars,1.3,38,12,12,0.211571
sportalix.com,stars,1.3,345,66,66,0.182365
mypanhandle.com,stars,1.3,798,138,138,0.169549
ohmyfacts.com,stars,1.3,118,24,24,0.178289
ktlo.com,stars,1.3,393,99,99,0.239685
kvoa.com,stars,1.3,192,36,36,0.172914
beliefnet.com,stars,1.3,296,64,64,0.203641
thewellnourishedmama.com,stars,1.3,77,16,16,0.171839
kget.com,stars,1.3,177,38,38,0.195105
khon2.com,stars,1.3,210,43,43,0.189112
staradvertiser.com,stars,1.3,60,18,18,0.22652
police1.com,stars,1.3,38261,6925,6925,0.180914
hackspirit.com,stars,1.3,67,17,17,0.199864
wvnstv.com,stars,1.3,81,23,23,0.22871
consumergravity.com,stars,1.3,31,11,11,0.219456
whatfontis.com,stars,1.3,31,9,9,0.186669
patch.com,stars,1.3,100,20,20,0.172206
wfxrtv.com,stars,1.3,70,16,16,0.183868
